2025-11-16 15:18:02.161 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:18:12.167 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:18:22.174 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:18:32.177 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:18:42.181 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:18:52.188 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:19:02.195 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:19:12.200 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:19:22.202 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:19:32.204 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:19:42.208 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:19:52.211 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:20:02.219 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:20:12.225 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:20:22.233 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:20:32.240 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:20:42.243 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:20:52.250 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:21:02.258 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:21:12.261 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:21:22.268 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:21:32.276 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:21:42.280 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:21:52.288 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:22:02.290 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:22:12.295 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:22:22.297 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:22:32.301 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:23:46.949 | INFO     | main:<module>:28 - Model API service starting up...
2025-11-16 15:23:46.949 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
